"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"292";"Fla";"ASV_1997_Crustomastigaceae_X_sp.";FALSE;134;11;0;0;0;99,9;1;84,8
"293";"Fla";"ASV_1254_Prymnesiophyceae_Clade_D_XX_sp.";FALSE;135;10;0;0;0;99,9;1;85,4
"294";"Fla";"ASV_1560_Rhodomonas_sp.";FALSE;136;10;0;0;0;99,9;1;86,1
"295";"Fla";"ASV_1092_Pelagomonas_calceolata";FALSE;137;10;0;0;0;99,9;1;86,7
"296";"Fla";"ASV_443_Chlorodendrales_XX_sp.";FALSE;138;10;0;0;0;99,9;1;87,3
"297";"Fla";"ASV_2202_Non_Assigned";FALSE;139;9;0;0;0;99,9;1;88
"298";"Fla";"ASV_835_Pelagomonas_calceolata";FALSE;140;8;0;0;0;99,9;0,9;88,6
"299";"Fla";"ASV_1231_Florenciella_parvula";FALSE;141;8;0;0;0;99,9;0,9;89,2
"300";"Fla";"ASV_2098_Crustomastigaceae_X_sp.";FALSE;142;7;0;0;0;99,9;0,8;89,9
"301";"Fla";"ASV_1862_Crustomastigaceae_X_sp.";FALSE;143;7;0;0;0;99,9;0,8;90,5
"302";"Fla";"ASV_2062_Florenciellales_X_sp.";FALSE;144;7;0;0;0;100;0,8;91,1
"303";"Fla";"ASV_1295_Florenciellales_X_sp.";FALSE;145;6;0;0;0;100;0,8;91,8
"304";"Fla";"ASV_2520_Rhizosolenia_delicatula";FALSE;146;6;0;0;0;100;0,8;92,4
"305";"Fla";"ASV_2990_Chrysophyceae_Clade-H_X_sp.";FALSE;147;6;0;0;0;100;0,8;93
"306";"Fla";"ASV_1173_Micromonas_bravo_B2";FALSE;148;5;0;0;0;100;0,7;93,7
"307";"Fla";"ASV_1153_Micromonas_bravo_B2";FALSE;149;4;0;0;0;100;0,6;94,3
"308";"Fla";"ASV_2201_Rhodomonas_sp.";FALSE;150;4;0;0;0;100;0,6;94,9
"309";"Fla";"ASV_3445_Guinardia_solstherfothii";FALSE;151;3;0;0;0;100;0,5;95,6
"310";"Fla";"ASV_1436_Micromonas_bravo_B2";FALSE;152;3;0;0;0;100;0,5;96,2
"311";"Fla";"ASV_1403_Pelagomonas_calceolata";FALSE;153;3;0;0;0;100;0,5;96,8
"312";"Fla";"ASV_126_Detonula_pumila";FALSE;154;2;0;0;0;100;0,3;97,5
"313";"Fla";"ASV_3447_Chrysophyceae_Clade-H_X_sp.";FALSE;155;2;0;0;0;100;0,3;98,1
"314";"Fla";"ASV_1091_Pelagomonas_calceolata";FALSE;156;2;0;0;0;100;0,3;98,7
"315";"Fla";"ASV_969_Thalassiosira_rotula";FALSE;157;1;0;0;0;100;0;99,4
"316";"Fla";"ASV_2680_Brockmanniella brockmannii";FALSE;158;1;0;0;0;100;0;100
"317";"Hu";"ASV_1_Ostreococcus_lucimarinus";TRUE;1;80511;28,9;27,2;30,6;28,9;4,9;0,6
"318";"Hu";"ASV_2_Ostreococcus_lucimarinus";TRUE;2;60783;21,8;20,6;23,1;50,7;4,8;1,3
"319";"Hu";"ASV_4_Ostreococcus_lucimarinus";TRUE;3;56499;20,3;19;21,5;71;4,8;1,9
"320";"Hu";"ASV_10_Bathycoccus_prasinos";TRUE;4;5535;2;1,4;2,6;73;3,7;2,5
"321";"Hu";"ASV_15_Micromonas_bravo_B1";TRUE;5;4342;1,6;0,9;2,2;74,6;3,6;3,2
"322";"Hu";"ASV_21_Micromonas_commoda_A2";TRUE;6;4337;1,6;1,2;1,9;76,1;3,6;3,8
"323";"Hu";"ASV_13_Bathycoccus_prasinos";TRUE;7;4214;1,5;1,1;1,9;77,7;3,6;4,4
"324";"Hu";"ASV_14_Bathycoccus_prasinos";TRUE;8;4012;1,4;1;1,8;79,1;3,6;5,1
"325";"Hu";"ASV_35_Ostreococcus_lucimarinus";TRUE;9;3632;1,3;1,2;1,4;80,4;3,6;5,7
"326";"Hu";"ASV_23_Micromonas_bravo_B1";TRUE;10;3309;1,2;0,7;1,7;81,6;3,5;6,3
"327";"Hu";"ASV_33_Micromonas_commoda_A2";FALSE;11;3218;1,2;0,9;1,4;82,7;3,5;7
"328";"Hu";"ASV_37_Micromonas_commoda_A2";FALSE;12;3104;1,1;0,8;1,4;83,9;3,5;7,6
"329";"Hu";"ASV_26_Micromonas_bravo_B1";FALSE;13;3016;1,1;0,6;1,6;84,9;3,5;8,2
"330";"Hu";"ASV_52_Ostreococcus_lucimarinus";FALSE;14;2827;1;0,9;1,1;86;3,5;8,9
"331";"Hu";"ASV_63_Ostreococcus_lucimarinus";FALSE;15;2569;0,9;0,8;1;86,9;3,4;9,5
