;names;codes
355;Fragilariopsis_sp;RCC6854_MN824005
356;Fragilariopsis_sp;RCC6855_MN824006
357;Pseudo-nitzschia_sp;RCC6857_MN824008
358;Pseudo-nitzschia_sp;RCC6858_MN824009
359;Fragilariopsis_sp;RCC6859_MN824010
360;Fragilariopsis_sp;RCC6860_MN824011
361;Fragilariopsis_sp;RCC6861_MN824012
362;Pseudo-nitzschia_sp;RCC6862_MN824013
363;Fragilariopsis_sp;RCC6864_MN824014
364;Fragilariopsis_sp;RCC6865_MN824015
365;Fragilariopsis_sp;RCC6866_MN824016
366;Pseudo-nitzschia_sp;RCC6867_MN824017
367;Fragilariopsis_sp;RCC6868_MN824018
368;Fragilariopsis_sp;RCC6869_MN824019
369;Fragilariopsis_sp;RCC6870_MN824020
370;Pseudo-nitzschia_sp;RCC6873_MN824023
371;Fragilariopsis_sp;RCC6874_MN824024
372;Naviculales_sp;RCC6875_MN824025
373;Chloropicon_primus;RCC15_U40921
374;Chloropicon_primus;RCC15_KF925345
375;Chloropicon_roscoffensis;RCC19_KT860855
376;Chloropicon_mariensis;RCC138_KT860872
377;Chloroparvula_pacifica;RCC696_KT860688
378;Chloroparvula_pacifica;RCC696_KU843577
379;Chloropicon_roscoffensis;RCC700_KT860686
380;Chloropicon_roscoffensis;RCC700_KU843578
381;Chloropicon_roscoffensis;RCC701_KF899839
382;prasinophyte_sp;RCC712_KT860929
383;prasinophyte_sp;RCC712_KU843579
384;prasinophyte_sp;RCC713_KT860813
385;prasinophyte_sp;RCC713_KU843580
386;Chloropicon_primus;RCC717_KT860691
387;Chloropicon_primus;RCC717_KU843581
388;Chloropicon_mariensis;RCC719_KT860933
389;Chloropicon_mariensis;RCC719_KU843582
390;Chloropicon_roscoffensis;RCC722_KT860817
391;Chloropicon_roscoffensis;RCC722_KU843583
392;Chloropicon_roscoffensis;RCC726_KT860692
393;Chloropicon_roscoffensis;RCC726_KU843584
394;Chloropicon_laureae;RCC856_EU106741
395;Chloropicon_laureae;RCC856_KF422631
396;Chloropicon_sieburthii;RCC857_KU843585
397;Chloropicon_sieburthii;RCC857_EU106742
398;Chloropicon_roscoffensis;RCC917_EU106769
399;Chloropicon_roscoffensis;RCC917_FJ997211
400;Chloropicon_maureeniae;RCC996_EU106822
401;Chloropicon_maureeniae;RCC996_KU843586
402;prasinophyte_sp;RCC997_EU106823
403;prasinophyte_sp;RCC997_KT860935
