Species;RCC;Genbank_accession;Keep;Status
Pelagomonas_calceolata;RCC4423;KX523142;Yes;Distributed
Pelagomonas_calceolata;RCC4424;KX523143;Yes;Distributed
Pelagomonas_calceolata;RCC4425;KX523144;Yes;Distributed
Pelagomonas_calceolata;RCC4427;KX523146;Yes;Distributed
Pelagomonas_calceolata;RCC4475;KT878698;Yes;Distributed
Pelagomonas_calceolata;RCC4476;KT878699;Yes;Distributed
Pelagomonas_calceolata;RCC4548;KX014627;Yes;Distributed
Pelagomonadaceae_clade_D1_sp;RCC4551;KX014629;Yes;Distributed
Ankylochrysis_sp;RCC4552;KX014630;Yes;Distributed
Pelagomonas_calceolata;RCC4559;KX014633;Yes;Distributed
Pelagomonas_calceolata;RCC4561;KX014635;Yes;Distributed
;RCC4562;KX014636;No;NotFound
;RCC4563;KX014637;No;NotFound
Pelagomonas_calceolata;RCC4564;KX014638;Yes;Distributed
Pelagomonas_calceolata;RCC4566;KX014639;Yes;Distributed
Andersenia_nodulosa;RCC4632;KP178602;Yes;Distributed
Pelagomonas_calceolata;RCC4647;KX523165;Yes;Distributed
Pelagomonas_calceolata;RCC4648;KX523166;Yes;Distributed
Pelagomonas_calceolata;RCC4649;KX523167;Yes;Distributed
Pelagophyceae_XXX_sp;RCC4650;KX523168;Yes;Distributed
Ankylochrysis_sp1;RCC4782;KX602214;Yes;Distributed
Ankylochrysis_sp;RCC5251;MH764732;Yes;Distributed
Ankylochrysis_sp;RCC5254;MH764735;Yes;Distributed
Ankylochrysis_sp;RCC5256;MH764737;Yes;Distributed
Pelagomonadales_clade_B_X_sp;RCC5271;MH764752;Yes;Distributed
Ankylochrysis_sp;RCC5276;MH764756;Yes;Distributed
Ankylochrysis_sp;RCC5277;MH764757;Yes;Distributed
Ankylochrysis_sp1;RCC5282;MH764762;Yes;Distributed
Ankylochrysis_sp;RCC5288;MH764767;Yes;Distributed
Ankylochrysis_sp;RCC5292;MH764771;Yes;Distributed
Ankylochrysis_sp;RCC5300;MH764777;Yes;Distributed
Ankylochrysis_sp;RCC5330;MH764803;Yes;Distributed
Ankylochrysis_sp;RCC5450;MH764898;Yes;Distributed
Ankylochrysis_sp;RCC5451;MH764899;No;NotDistributed
Ankylochrysis_sp;RCC5452;MH764900;No;Lost
Pelagomonadales_clade_A1_sp;RCC5488;MH764932;Yes;Distributed
Ankylochrysis_sp;RCC5563;MH765000;No;Lost
Pelagococcus_subviridis;RCC5640;MH764628;Yes;Distributed
Pelagococcus_subviridis;RCC5641;MH764629;Yes;Distributed
Pelagococcus_sp;RCC5642;MH764630;Yes;Distributed
Pelagococcus_subviridis;RCC5643;MH764631;Yes;Distributed
Pelagococcus_subviridis;RCC5644;MH764632;Yes;Distributed
Pelagococcus_sp;RCC5645;MH764633;Yes;Distributed
Pelagococcus_subviridis;RCC5658;MH764634;Yes;Distributed
Pelagococcus_subviridis;RCC5659;MH764635;Yes;Distributed
Pelagococcus_sp;RCC5660;MH764636;Yes;Distributed
Pelagococcus_sp;RCC5661;MH764637;Yes;Distributed
Pelagococcus_sp;RCC5664;MH764638;Yes;Distributed
Pelagococcus_sp;RCC5665;MH764639;Yes;Distributed
