"";"Species";"RCC";"Genbank_accession";"Keep";"Status"
"1149";"Pycnococcus_provasolii";"RCC731";"KT860684";"Yes";"Cryopreserved"
"1150";"Pycnococcus_provasolii";"RCC733";"KT878683";"Yes";"Distributed"
"1151";"Pycnococcus_provasolii";"RCC734";"KT860683";"Yes";"Cryopreserved"
"1152";"Pycnococcus_provasolii";"RCC823";"KT860693";"No";"NotDistributed"
"1153";"Pycnococcus_provasolii";"RCC885";"KT860821";"Yes";"Distributed"
"1154";"Pycnococcus_provasolii";"RCC899";"KT860909";"Yes";"Distributed"
"1155";"Pycnococcus_provasolii";"RCC931";"EU106778";"Yes";"Distributed"
"1156";"Pycnococcus_sp";"RCC932";"EU106779";"No";"Lost"
"1157";"Pycnococcus_provasolii";"RCC1058";"EU106838";"Yes";"Cryopreserved"
"1158";"Pycnococcus_provasolii";"RCC1059";"EU106839";"Yes";"Cryopreserved"
"1159";"Pycnococcus_provasolii";"RCC1060";"EU106840";"Yes";"Cryopreserved"
"1160";"Pycnococcus_provasolii";"RCC1751";"KT860725";"Yes";"Distributed"
"1161";"Pyramimonas_sp";"RCC1870";"KT860775";"No";"NotDistributed"
"1162";"Pycnococcus_provasolii";"RCC1930";"KT860777";"No";"Cryopreserved"
"1163";"Pycnococcus_provasolii";"RCC1931";"KT860778";"Yes";"Distributed"
"1164";"Pyramimonas_sp";"RCC1987";"JN934670";"Yes";"Distributed"
"1165";"Pyramimonas_sp";"RCC2009";"JF794047";"No";"Lost"
"1166";"Pyramimonas_sp";"RCC2015";"JF794048";"Yes";"Distributed"
"1167";"Pyramimonas_sp";"RCC2047";"KT860756";"Yes";"Distributed"
"1168";"Pyramimonas_sp";"RCC2048";"KT860757";"Yes";"Distributed"
"1169";"Pyramimonas_sp";"RCC2260";"KT860755";"No";"NotDistributed"
"1170";"Pyramimonas_sp";"RCC2295";"KT860800";"Yes";"Distributed"
"1171";"Pyramimonas_sp";"RCC2296";"KT860798";"Yes";"Distributed"
"1172";"Pycnococcus_provasolii";"RCC2336";"KT860844";"Yes";"Distributed"
"1173";"Pycnococcus_provasolii";"RCC2338";"KT860792";"Yes";"Cryopreserved"
"1174";"Pycnococcus_provasolii";"RCC2361";"KT860787";"Yes";"Cryopreserved"
"1175";"Pycnococcus_provasolii";"RCC2363";"KT860779";"No";"Lost"
"1176";"Pycnococcus_provasolii";"RCC2364";"KT860780";"Yes";"Distributed"
"1177";"Pycnococcus_provasolii";"RCC2365";"KT860788";"Yes";"Cryopreserved"
"1178";"Pyramimonas_sp";"RCC2500";"JN934689";"Yes";"Distributed"
"1179";"Pyramimonas_sp";"RCC2500";"KT860922";"Yes";"Distributed"
"1180";"Pyramimonas_sp";"RCC2501";"KT860923";"Yes";"Distributed"
"1181";"Pyramimonas_sp";"RCC2502";"KT860802";"Yes";"Distributed"
"1182";"Pyramimonas_sp";"RCC2688";"KT861321";"No";"Lost"
"1183";"Pycnococcus_provasolii";"RCC3054";"KT860831";"Yes";"Distributed"
"1184";"Pycnococcus_provasolii";"RCC3055";"KT860845";"Yes";"Cryopreserved"
"1185";"Pycnococcus_provasolii";"RCC3056";"KT860846";"Yes";"Cryopreserved"
"1186";"Pyramimonas_sp";"RCC4209";"MH792101";"Yes";"Distributed"
"1187";"Pyramimonas_sp";"RCC4212";"MH792102";"Yes";"Distributed"
"1188";"Pyramimonas_sp";"RCC4217";"MH792103";"Yes";"Distributed"
"1189";"Pyramimonas_sp";"RCC4218";"MH792104";"Yes";"Distributed"
"1190";"Pyramimonas_sp";"RCC4636";"KX523159";"Yes";"Distributed"
"1191";"Pyramimonas_sp";"RCC4781";"KX602213";"No";"NotDistributed"
"1192";"Pyramimonas_sp";"RCC4783";"KX602215";"Yes";"Distributed"
"1193";"Pyramimonas_sp";"RCC4805";"KY094988";"No";"Lost"
"1194";"Pyramimonas_diskoicola";"RCC5235";"MH764716";"Yes";"Distributed"
"1195";"";"RCC5238";"MH764719";"No";"NotFound"
"1196";"Pyramimonas_sp";"RCC5240";"MH764721";"Yes";"Distributed"
"1197";"Pyramimonas_sp";"RCC5241";"MH764722";"Yes";"Distributed"
"1198";"";"RCC5242";"MH764723";"No";"NotFound"
"1199";"Pyramimonas_sp";"RCC5244";"MH764725";"Yes";"Distributed"
"1200";"Pyramimonas_sp";"RCC5245";"MH764726";"Yes";"Distributed"
"1201";"Pyramimonas_sp";"RCC5248";"MH764729";"Yes";"Distributed"
"1202";"Pyramimonas_diskoicola";"RCC5249";"MH764730";"Yes";"Distributed"
"1203";"Pyramimonas_sp";"RCC5252";"MH764733";"No";"Lost"
"1204";"Pyramimonas_australis";"RCC5269";"MH764750";"Yes";"Distributed"
"1205";"Pyramimonas_sp";"RCC5279";"MH764759";"Yes";"Distributed"
"1206";"Pyramimonas_sp";"RCC5281";"MH764761";"No";"Lost"
"1207";"Pyramimonas_sp";"RCC5283";"MH764763";"Yes";"Distributed"
"1208";"Pyramimonas_sp";"RCC5284";"MH764764";"Yes";"Distributed"
"1209";"Pyramimonas_diskoicola";"RCC5312";"MH764787";"Yes";"Distributed"
"1210";"Pyramimonas_sp";"RCC5357";"MH764822";"Yes";"Distributed"
"1211";"Pyramimonas_diskoicola";"RCC5358";"MH764823";"Yes";"Distributed"
"1212";"Pyramimonas_sp";"RCC5453";"MH764901";"No";"NotDistributed"
"1213";"Pyramimonas_sp";"RCC5454";"MH764902";"Yes";"Distributed"
"1214";"Pyramimonas_sp";"RCC5455";"MH764903";"Yes";"Distributed"
"1215";"";"RCC5457";"MH764904";"No";"NotFound"
"1216";"Pyramimonas_sp";"RCC5483";"MH764927";"No";"Lost"
"1217";"Pyramimonas_sp";"RCC5516";"MH764957";"Yes";"Distributed"
"1218";"Pyramimonas_diskoicola";"RCC5525";"MH764966";"Yes";"Distributed"
"1219";"Pyramimonas_sp";"RCC6672";"MN604358";"Yes";"Distributed"
"1220";"Desmochloris_sp";"RCC2697";"KT860925";"Yes";"Distributed"
"1221";"Ulvophyceae_XXX_sp";"RCC2945";"KT860927";"Yes";"Distributed"
"1222";"Ulvella_sp";"RCC2960";"KT860928";"Yes";"Distributed"
"1223";"Ulvophyceae_XXX_sp";"RCC2980";"KT860840";"Yes";"Distributed"
"1224";"Ulvophyceae_XXX_sp";"RCC2981";"KT860841";"Yes";"Distributed"
"1225";"Ulvophyceae_XXX_sp";"RCC4617";"KY233153";"Yes";"Distributed"
"1226";"Ulvophyceae_XXX_sp";"RCC4620";"KY233156";"Yes";"Distributed"
"1227";"Ochromonas_triangulata";"RCC21";"KT860964";"Yes";"Distributed"
"1228";"Paraphysomonas_sp";"RCC383";"KT861130";"Yes";"Distributed"
"1229";"Ochromonas_sp";"RCC480";"KT861029";"Yes";"Distributed"
"1230";"Chrysophyceae_XXX_sp";"RCC902";"KT861139";"Yes";"Distributed"
"1231";"Paraphysomonas_sp";"RCC1066";"KT878688";"No";"Lost"
"1232";"Dinobryon_faculiferum";"RCC2290";"JF794055";"Yes";"Distributed"
"1233";"Dinobryon_faculiferum";"RCC2293";"JN934680";"Yes";"Distributed"
"1234";"Dinobryon_faculiferum";"RCC2294";"KT861201";"Yes";"Distributed"
"1235";"Ochromonas_sp";"RCC2350";"KT861094";"No";"Lost"
"1236";"Ochromonas_sp";"RCC2350";"KT861100";"No";"Lost"
"1237";"Spumella_sp";"RCC4558";"KX014632";"Yes";"Distributed"
"1238";"Dinobryon_faculiferum";"RCC5261";"MH764742";"Yes";"Distributed"
"1239";"";"RCC5290";"MH764769";"No";"NotFound"
"1240";"Spumella_sp";"RCC5412";"MH764864";"No";"Lost"
"1241";"Spumella_sp";"RCC5413";"MH764865";"No";"Lost"
"1242";"Spumella_sp";"RCC5513";"MH764955";"No";"Lost"
"1243";"Triparma_sp";"RCC852";"EU106738";"No";"NotDistributed"
"1244";"Triparma_sp";"RCC1657";"KF422625";"Yes";"Distributed"
"1245";"Triparma_eleuthera";"RCC1730";"KR998400";"No";"Lost"
"1246";"Triparma_eleuthera";"RCC2347";"KF422629";"No";"Lost"
"1247";"";"";"U14387";"No";"NotFound"
"1248";"Rhizochromulina_sp";"RCC332";"KT861105";"Yes";"Distributed"
"1249";"Rhizochromulina_sp";"RCC334";"KT861027";"No";"NotDistributed"
"1250";"Florenciella_parvula";"RCC355";"KT861162";"No";"Lost"
"1251";"Mesopedinella_arctica";"RCC382";"KT861163";"No";"NotDistributed"
"1252";"Rhizochromulina_sp";"RCC389";"KT878669";"No";"Lost"
"1253";"Rhizochromulina_sp";"RCC392";"KT861164";"No";"NotDistributed"
"1254";"Florenciella_parvula";"RCC446";"AY254857";"Yes";"Distributed"
"1255";"Florenciella_sp";"RCC505";"AY665991";"No";"Lost"
"1256";"Rhizochromulina_sp";"RCC529";"KT861030";"No";"NotDistributed"
"1257";"Rhizochromulina_sp";"RCC534";"KT861034";"No";"NotDistributed"
"1258";"Apedinella_spinifera";"RCC665";"KT861032";"No";"Lost"
"1259";"Pseudopedinella_sp";"RCC668";"KT861033";"No";"NotDistributed"
"1260";"Rhizochromulina_sp";"RCC900";"KT860987";"No";"NotDistributed"
"1261";"Florenciella_sp";"RCC1007";"EU106829";"Yes";"Distributed"
"1262";"Florenciella_sp";"RCC1007";"KT861110";"Yes";"Distributed"
"1263";"Florenciella_sp";"RCC1008";"EU106830";"No";"Lost"
"1264";"Pseudochattonella_verruculosa";"RCC1082";"KT861064";"No";"Lost"
"1265";"Florenciella_sp";"RCC1587";"KF422624";"Yes";"Distributed"
"1266";"Florenciella_sp";"RCC1587";"KT861065";"Yes";"Distributed"
"1267";"Florenciella_sp";"RCC1650";"KT860989";"Yes";"Distributed"
"1268";"Florenciella_parvula";"RCC1659";"KT861058";"Yes";"Distributed"
"1269";"Florenciella_parvula";"RCC1663";"KT861059";"Yes";"Distributed"
"1270";"Florenciella_parvula";"RCC1678";"KT861060";"No";"NotDistributed"
"1271";"Florenciella_parvula";"RCC1686";"KT861061";"Yes";"Distributed"
"1272";"Florenciella_sp";"RCC1693";"KF422626";"Yes";"Distributed"
"1273";"Florenciella_sp";"RCC1704";"KT860990";"Yes";"Distributed"
"1274";"Helicopedinella_sp";"RCC2283";"KT861166";"Yes";"Distributed"
"1275";"Helicopedinella_sp";"RCC2284";"KT861167";"No";"Lost"
